Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
I15,1e-07,1e-07,1e-07,0.5625,0.4375
I210,1e-07,1e-07,1e-07,0.4997560977935791,0.5002439022064209
I209,1e-07,1e-07,1e-07,0.5001220107078552,0.4998779892921448
I208,1e-07,1e-07,1e-07,0.5000610202550888,0.4999389797449112
I309,1e-07,1e-07,1e-07,0.5000305138528347,0.4999694861471653
I308,1e-07,1e-07,1e-07,0.4999847421422601,0.5000152578577399
I307,1e-07,1e-07,1e-07,0.5000076291617006,0.4999923708382994
I306,1e-07,1e-07,1e-07,0.500003814639058,0.49999618536094204
I803.4,1e-07,1e-07,1e-07,0.9375,0.0625
I407,1e-07,1e-07,1e-07,0.5000019073340809,0.4999980926659191
11514,1e-07,1e-07,1e-07,0.4999990463293216,0.5000009536706784
I405,1e-07,1e-07,1e-07,0.5000004768362487,0.4999995231637513
I14,1e-07,1e-07,1e-07,0.453125,0.546875
I404,1e-07,1e-07,1e-07,0.5000002384183517,0.49999976158164827
I803.5,1e-07,1e-07,1e-07,0.9375,0.0625
I505,1e-07,1e-07,1e-07,0.5000001192092327,0.4999998807907673
I504,1e-07,1e-07,1e-07,0.49999994039536944,0.5000000596046306
I503,1e-07,1e-07,1e-07,0.5000000298023188,0.49999997019768117
I502,1e-07,1e-07,1e-07,0.5000000149011603,0.4999999850988397
I803.6,1e-07,1e-07,1e-07,0.9375,0.0625
I603,1e-07,1e-07,1e-07,0.5000000074505804,0.4999999925494196
I975,1e-07,1e-07,1e-07,0.5,0.5
I986,1e-07,1e-07,1e-07,0.25,0.75
I987,1e-07,1e-07,1e-07,0.75,0.25
I602,1e-07,1e-07,1e-07,0.4999999962747097,0.5000000037252903
I976,1e-07,1e-07,1e-07,0.5,0.5
I984,1e-07,1e-07,1e-07,0.125,0.875
I601,1e-07,1e-07,1e-07,0.5000000018626451,0.49999999813735485
I600,1e-07,1e-07,1e-07,0.5000000009313226,0.4999999990686774
I978,1e-07,1e-07,1e-07,0.5,0.5
I802.7,1e-07,1e-07,1e-07,0.96875,0.03125
I13,1e-07,1e-07,1e-07,0.52734375,0.47265625
I12,1e-07,1e-07,1e-07,0.5146484375,0.4853515625
I803.1,1e-07,1e-07,1e-07,0.9375,0.0625
I113,1e-07,1e-07,1e-07,0.507568359375,0.492431640625
I112,1e-07,1e-07,1e-07,0.49615478515625,0.50384521484375
I111,1e-07,1e-07,1e-07,0.5019378662109375,0.4980621337890625
I110,1e-07,1e-07,1e-07,0.5009727478027344,0.4990272521972656
I803.2,1e-07,1e-07,1e-07,0.9375,0.0625
I804.2,1e-07,1e-07,1e-07,0.99609375,0.00390625
I211,1e-07,1e-07,1e-07,0.5004873275756836,0.4995126724243164
I803.3,1e-07,1e-07,1e-07,0.9375,0.0625
I804.3,1e-07,1e-07,1e-07,0.999755859375,0.000244140625
I804.4,1e-07,1e-07,1e-07,0.9999847412109375,1.52587890625e-05
I804.5,1e-07,1e-07,1e-07,0.9999990463256836,9.5367431640625e-07
I804.6,1e-07,1e-07,1e-07,0.9999999403953552,1e-07
P.28,1e-07,1e-07,1e-07,0.9999999981373549,1e-07
I1255.2,1e-07,1e-07,1e-07,0.9999999990686774,1e-07
11513,1e-07,1e-07,1e-07,1.0,1e-07
I147,1e-07,1e-07,1e-07,0.5,0.5
I148,1e-07,1e-07,1e-07,0.5,0.5
I162,1e-07,1e-07,1e-07,0.25,0.75
I2.2,1e-07,1e-07,1e-07,0.9375,0.0625
I245,1e-07,1e-07,1e-07,0.5,0.5
I246,1e-07,1e-07,1e-07,0.5,0.5
I260,1e-07,1e-07,1e-07,0.25,0.75
I2.3,1e-07,1e-07,1e-07,0.9375,0.0625
I343,1e-07,1e-07,1e-07,0.5,0.5
I344,1e-07,1e-07,1e-07,0.5,0.5
I358,1e-07,1e-07,1e-07,0.25,0.75
I2.4,1e-07,1e-07,1e-07,0.9375,0.0625
I399.2,1e-07,1e-07,1e-07,0.5,0.5
I49,1e-07,1e-07,1e-07,0.5,0.5
I50,1e-07,1e-07,1e-07,0.5,0.5
