circuit,file,md_distance
s838,candidate_5.bench,5.629875
s838,candidate_13.bench,5.635119
s838,candidate_16.bench,5.637932
s838,candidate_20.bench,5.643786
s838,candidate_7.bench,5.644458
s838,candidate_14.bench,5.645974
s838,candidate_19.bench,5.646413
s838,candidate_8.bench,5.651074
s838,candidate_10.bench,5.651575
s838,candidate_9.bench,5.651702
s838,candidate_1.bench,5.651963
s838,candidate_2.bench,5.652524
s838,candidate_12.bench,5.65266
s838,candidate_6.bench,5.652946
s838,candidate_4.bench,5.653473
s838,candidate_25.bench,5.654693
s838,candidate_26.bench,5.654916
s838,candidate_27.bench,5.655188
s838,candidate_28.bench,5.655779
s838,candidate_15.bench,5.690458
s838,candidate_3.bench,5.696891
s838,candidate_11.bench,5.701831
s838,candidate_23.bench,6.044413
s838,candidate_22.bench,6.047718
s838,candidate_17.bench,6.04785
s838,candidate_21.bench,6.048192
s838,candidate_18.bench,6.048414
s838,candidate_24.bench,6.049062
s838,candidate_0.bench,23.487385
