circuit,file,md_distance
s15850,candidate_2.bench,8.829013
s15850,candidate_3.bench,8.829135
s15850,candidate_8.bench,8.829292
s15850,candidate_11.bench,8.829384
s15850,candidate_15.bench,8.82939
s15850,candidate_5.bench,8.829441
s15850,candidate_6.bench,8.829693
s15850,candidate_14.bench,8.829807
s15850,candidate_1.bench,8.830242
s15850,candidate_7.bench,8.830254
s15850,candidate_13.bench,8.830737
s15850,candidate_17.bench,8.830919
s15850,candidate_9.bench,8.831567
s15850,candidate_16.bench,8.853595
s15850,candidate_4.bench,8.892753
s15850,candidate_12.bench,8.895088
s15850,candidate_0.bench,9.009982
s15850,candidate_10.bench,9.012372
s15850,candidate_18.bench,9.419235
