circuit,file,md_distance
s838a,candidate_0.bench,5.063213
s838a,candidate_1.bench,5.068293
s838a,candidate_3.bench,5.069424
s838a,candidate_15.bench,5.070159
s838a,candidate_36.bench,5.070201
s838a,candidate_23.bench,5.071749
s838a,candidate_16.bench,5.071769
s838a,candidate_19.bench,5.071799
s838a,candidate_25.bench,5.071843
s838a,candidate_5.bench,5.071878
s838a,candidate_20.bench,5.072685
s838a,candidate_18.bench,5.072691
s838a,candidate_7.bench,5.073145
s838a,candidate_13.bench,5.073239
s838a,candidate_11.bench,5.073364
s838a,candidate_29.bench,5.073535
s838a,candidate_31.bench,5.073545
s838a,candidate_27.bench,5.073585
s838a,candidate_21.bench,5.073704
s838a,candidate_17.bench,5.073707
s838a,candidate_28.bench,5.073783
s838a,candidate_9.bench,5.073892
s838a,candidate_35.bench,5.074101
s838a,candidate_26.bench,5.074151
s838a,candidate_32.bench,5.074185
s838a,candidate_34.bench,5.074226
s838a,candidate_30.bench,5.074243
s838a,candidate_33.bench,5.074701
s838a,candidate_22.bench,5.078852
s838a,candidate_12.bench,5.080191
s838a,candidate_24.bench,5.08057
s838a,candidate_14.bench,5.08077
s838a,candidate_10.bench,5.080778
s838a,candidate_6.bench,5.081265
s838a,candidate_8.bench,5.082023
s838a,candidate_4.bench,5.082253
s838a,candidate_2.bench,5.08286
