circuit,file,md_distance
s1494,candidate_8.bench,6.287647
s1494,candidate_12.bench,6.298466
s1494,candidate_7.bench,6.303168
s1494,candidate_15.bench,6.304011
s1494,candidate_13.bench,6.307148
s1494,candidate_14.bench,6.310546
s1494,candidate_10.bench,6.321832
s1494,candidate_11.bench,6.324822
s1494,candidate_0.bench,6.445198
s1494,candidate_2.bench,6.445525
s1494,candidate_4.bench,6.450809
s1494,candidate_5.bench,6.456384
s1494,candidate_9.bench,6.458143
s1494,candidate_6.bench,6.567032
s1494,candidate_3.bench,7.40184
s1494,candidate_1.bench,8.598955
