circuit,file,md_distance
c7552,candidate_8.bench,10.417757
c7552,candidate_3.bench,10.418121
c7552,candidate_0.bench,10.424681
c7552,candidate_9.bench,10.424705
c7552,candidate_2.bench,10.424945
c7552,candidate_1.bench,10.425072
c7552,candidate_7.bench,10.425328
c7552,candidate_14.bench,10.42815
c7552,candidate_11.bench,10.428507
c7552,candidate_13.bench,10.429127
c7552,candidate_18.bench,10.431747
c7552,candidate_17.bench,10.432019
c7552,candidate_12.bench,10.432142
c7552,candidate_19.bench,10.432301
c7552,candidate_15.bench,10.433616
c7552,candidate_21.bench,10.435572
c7552,candidate_24.bench,10.43741
c7552,candidate_22.bench,10.445118
c7552,candidate_16.bench,10.449018
c7552,candidate_25.bench,10.454029
c7552,candidate_23.bench,10.456881
c7552,candidate_5.bench,10.478431
c7552,candidate_10.bench,10.633005
c7552,candidate_20.bench,11.214436
c7552,candidate_4.bench,11.239394
c7552,candidate_6.bench,29.546269
