circuit,file,md_distance
s938,candidate_3.bench,5.063213
s938,candidate_0.bench,5.068626
s938,candidate_1.bench,5.069764
s938,candidate_24.bench,5.070201
s938,candidate_15.bench,5.070412
s938,candidate_2.bench,5.071308
s938,candidate_16.bench,5.071383
s938,candidate_9.bench,5.072281
s938,candidate_4.bench,5.072335
s938,candidate_18.bench,5.072374
s938,candidate_11.bench,5.073074
s938,candidate_13.bench,5.073077
s938,candidate_19.bench,5.073524
s938,candidate_22.bench,5.073549
s938,candidate_23.bench,5.073625
s938,candidate_29.bench,5.074017
s938,candidate_30.bench,5.074101
s938,candidate_25.bench,5.074298
s938,candidate_28.bench,5.074371
s938,candidate_21.bench,5.075064
s938,candidate_26.bench,5.075538
s938,candidate_20.bench,5.079186
s938,candidate_27.bench,5.079408
s938,candidate_12.bench,5.080194
s938,candidate_8.bench,5.080576
s938,candidate_10.bench,5.080773
s938,candidate_7.bench,5.080812
s938,candidate_14.bench,5.081703
s938,candidate_6.bench,5.082271
s938,candidate_5.bench,5.083472
s938,candidate_17.bench,7.073581
