circuit,file,md_distance
c1355,candidate_0.bench,11.393343
c1355,candidate_2.bench,11.393343
c1355,candidate_1.bench,11.395213
c1355,candidate_16.bench,11.395213
c1355,candidate_17.bench,11.395213
c1355,candidate_10.bench,11.395234
c1355,candidate_3.bench,11.395234
c1355,candidate_5.bench,11.395234
c1355,candidate_7.bench,11.395234
c1355,candidate_9.bench,11.395234
c1355,candidate_6.bench,11.395255
c1355,candidate_4.bench,11.395255
c1355,candidate_11.bench,11.395326
c1355,candidate_12.bench,11.395326
c1355,candidate_13.bench,11.395326
c1355,candidate_14.bench,11.395326
c1355,candidate_15.bench,11.395326
c1355,candidate_8.bench,11.395326
