circuit,file,md_distance
c5315,candidate_18.bench,9.938025
c5315,candidate_7.bench,9.941244
c5315,candidate_9.bench,9.943119
c5315,candidate_19.bench,9.94496
c5315,candidate_11.bench,9.945028
c5315,candidate_17.bench,9.94576
c5315,candidate_14.bench,9.945762
c5315,candidate_15.bench,9.945763
c5315,candidate_16.bench,9.945764
c5315,candidate_20.bench,9.945793
c5315,candidate_13.bench,9.945874
c5315,candidate_12.bench,9.956922
c5315,candidate_21.bench,9.956937
c5315,candidate_10.bench,9.956938
c5315,candidate_22.bench,9.956955
c5315,candidate_5.bench,9.967447
c5315,candidate_8.bench,9.991012
c5315,candidate_2.bench,10.103856
c5315,candidate_1.bench,10.104068
c5315,candidate_0.bench,10.110693
c5315,candidate_3.bench,10.110694
c5315,candidate_4.bench,10.314319
c5315,candidate_6.bench,10.473448
