Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
stt,1e-07,1e-07,1e-07,0.5,0.5
I420,1e-07,1e-07,1e-07,0.5,0.5
I432,1e-07,1e-07,1e-07,0.5,0.5
I444,1e-07,1e-07,1e-07,0.5,0.5
I456,1e-07,1e-07,1e-07,0.5,0.5
I468,1e-07,1e-07,1e-07,0.5,0.5
I480,1e-07,1e-07,1e-07,0.5,0.5
I492,1e-07,1e-07,1e-07,0.5,0.5
I5,1e-07,1e-07,1e-07,0.5,0.5
I504,1e-07,1e-07,1e-07,0.5,0.5
I516,1e-07,1e-07,1e-07,0.5,0.5
I528,1e-07,1e-07,1e-07,0.5,0.5
I611,1e-07,1e-07,1e-07,0.5,0.5
I612,1e-07,1e-07,1e-07,0.5,0.5
I623,1e-07,1e-07,1e-07,0.5,0.5
I624,1e-07,1e-07,1e-07,0.5,0.5
I635,1e-07,1e-07,1e-07,0.5,0.5
I636,1e-07,1e-07,1e-07,0.5,0.5
I647,1e-07,1e-07,1e-07,0.5,0.5
I648,1e-07,1e-07,1e-07,0.5,0.5
I659,1e-07,1e-07,1e-07,0.5,0.5
I660,1e-07,1e-07,1e-07,0.5,0.5
I671,1e-07,1e-07,1e-07,0.5,0.5
I672,1e-07,1e-07,1e-07,0.5,0.5
I683,1e-07,1e-07,1e-07,0.5,0.5
I684,1e-07,1e-07,1e-07,0.5,0.5
I695,1e-07,1e-07,1e-07,0.5,0.5
I696,1e-07,1e-07,1e-07,0.5,0.5
I707,1e-07,1e-07,1e-07,0.5,0.5
I708,1e-07,1e-07,1e-07,0.5,0.5
I719,1e-07,1e-07,1e-07,0.5,0.5
I720,1e-07,1e-07,1e-07,0.5,0.5
I819,1e-07,1e-07,1e-07,0.5,0.5
I831,1e-07,1e-07,1e-07,0.5396305524426787,0.46036944755732134
I849,1e-07,1e-07,1e-07,0.5381033783430134,0.46189662165698664
sel2,1e-07,1e-07,1e-07,0.75,0.25
I820,1e-07,1e-07,1e-07,0.25,0.75
I822_2,1e-07,1e-07,1e-07,0.125,0.875
muxop0_1,1e-07,1e-07,1e-07,0.875,0.125
muxop0_2,1e-07,1e-07,1e-07,0.875,0.125
muxop0_3,1e-07,1e-07,1e-07,0.875,0.125
muxop0_4,1e-07,1e-07,1e-07,0.875,0.125
muxop0_5,1e-07,1e-07,1e-07,0.875,0.125
muxop0_6,1e-07,1e-07,1e-07,0.875,0.125
muxop0_7,1e-07,1e-07,1e-07,0.875,0.125
muxop0_8,1e-07,1e-07,1e-07,0.875,0.125
muxop0_9,1e-07,1e-07,1e-07,0.875,0.125
sel3,1e-07,1e-07,1e-07,0.5,0.5
I1168,1e-07,1e-07,1e-07,0.25,0.75
I613,1e-07,1e-07,1e-07,0.5,0.5
I615_1,1e-07,1e-07,1e-07,0.25,0.75
I615_2,1e-07,1e-07,1e-07,0.25,0.75
I625,1e-07,1e-07,1e-07,0.5,0.5
I627_1,1e-07,1e-07,1e-07,0.25,0.75
I627_2,1e-07,1e-07,1e-07,0.25,0.75
I637,1e-07,1e-07,1e-07,0.5,0.5
I639_1,1e-07,1e-07,1e-07,0.25,0.75
I639_2,1e-07,1e-07,1e-07,0.25,0.75
I649,1e-07,1e-07,1e-07,0.5,0.5
I651_1,1e-07,1e-07,1e-07,0.25,0.75
I651_2,1e-07,1e-07,1e-07,0.25,0.75
I661,1e-07,1e-07,1e-07,0.5,0.5
I663_1,1e-07,1e-07,1e-07,0.25,0.75
I663_2,1e-07,1e-07,1e-07,0.25,0.75
I673,1e-07,1e-07,1e-07,0.5,0.5
I675_1,1e-07,1e-07,1e-07,0.25,0.75
I675_2,1e-07,1e-07,1e-07,0.25,0.75
I685,1e-07,1e-07,1e-07,0.5,0.5
I687_1,1e-07,1e-07,1e-07,0.25,0.75
I687_2,1e-07,1e-07,1e-07,0.25,0.75
