Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
I7,1e-07,1e-07,1e-07,0.9010643940749868,0.09893560592501316
I281,1e-07,1e-07,1e-07,0.5,0.5
I6,1e-07,1e-07,1e-07,0.8740859193392464,0.1259140806607536
I280,1e-07,1e-07,1e-07,0.5,0.5
I495,1e-07,1e-07,1e-07,0.25,0.75
I512,1e-07,1e-07,1e-07,0.75,0.25
I513,1e-07,1e-07,1e-07,0.25,0.75
I5,1e-07,1e-07,1e-07,0.8684190944498497,0.13158090555015034
I279,1e-07,1e-07,1e-07,0.5,0.5
I4,1e-07,1e-07,1e-07,0.9084615781903267,0.09153842180967331
I548,1e-07,1e-07,1e-07,0.875,0.125
I3,1e-07,1e-07,1e-07,0.9291685932534411,0.07083140674655886
I277,1e-07,1e-07,1e-07,0.5,0.5
I485,1e-07,1e-07,1e-07,0.0625,0.9375
I2,1e-07,1e-07,1e-07,0.7033396413996638,0.29666035860033624
I276,1e-07,1e-07,1e-07,0.5,0.5
I382,1e-07,1e-07,1e-07,0.984375,0.015625
I371,1e-07,1e-07,1e-07,0.0078125,0.9921875
I509,1e-07,1e-07,1e-07,0.25,0.75
I440,1e-07,1e-07,1e-07,0.9375,0.0625
I570,1e-07,1e-07,1e-07,0.75,0.25
I505,1e-07,1e-07,1e-07,0.125,0.875
I436,1e-07,1e-07,1e-07,0.9375,0.0625
I323,1e-07,1e-07,1e-07,0.015625,0.984375
I19,1e-07,1e-07,1e-07,0.9766845703125,0.0233154296875
11457,1e-07,1e-07,1e-07,0.9985427856445312,0.00145721435546875
I386,1e-07,1e-07,1e-07,0.75,0.25
I441,1e-07,1e-07,1e-07,0.0625,0.9375
I508,1e-07,1e-07,1e-07,0.75,0.25
I487,1e-07,1e-07,1e-07,0.125,0.875
I468,1e-07,1e-07,1e-07,0.953125,0.046875
I469,1e-07,1e-07,1e-07,0.046875,0.953125
11458,1e-07,1e-07,1e-07,0.9970703125,0.0029296875
11459,1e-07,1e-07,1e-07,0.999995730817318,4.2691826820373535e-06
I284,1e-07,1e-07,1e-07,0.5,0.5
I370,1e-07,1e-07,1e-07,0.9921875,0.0078125
I399,1e-07,1e-07,1e-07,0.03125,0.96875
I398,1e-07,1e-07,1e-07,0.96875,0.03125
11460,1e-07,1e-07,1e-07,0.9999885559082031,1.1444091796875e-05
11461,1e-07,1e-07,1e-07,0.96875,0.03125
11462,1e-07,1e-07,1e-07,0.9999996423721313,3.5762786865234375e-07
I1107_1,1e-07,1e-07,1e-07,0.9921875,0.0078125
I282,1e-07,1e-07,1e-07,0.5,0.5
I317,1e-07,1e-07,1e-07,0.25,0.75
I1031_1,1e-07,1e-07,1e-07,0.9765625,0.0234375
I506,1e-07,1e-07,1e-07,0.75,0.25
I461,1e-07,1e-07,1e-07,0.125,0.875
I571,1e-07,1e-07,1e-07,0.25,0.75
I534,1e-07,1e-07,1e-07,0.875,0.125
I535,1e-07,1e-07,1e-07,0.125,0.875
I416,1e-07,1e-07,1e-07,0.984375,0.015625
I526,1e-07,1e-07,1e-07,0.0233154296875,0.9766845703125
I1087_1,1e-07,1e-07,1e-07,0.01165771484375,0.98834228515625
I660,1e-07,1e-07,1e-07,0.9420137405395508,0.05798625946044922
11463,1e-07,1e-07,1e-07,0.9999893823987804,1.0617601219564676e-05
I661,1e-07,1e-07,1e-07,0.05798625946044922,0.9420137405395508
11464,1e-07,1e-07,1e-07,0.9420137405395508,0.05798625946044922
11465,1e-07,1e-07,1e-07,0.9999993843250208,6.156749791652594e-07
I263,1e-07,1e-07,1e-07,0.5,0.5
I267,1e-07,1e-07,1e-07,0.5,0.5
I458,1e-07,1e-07,1e-07,0.875,0.125
I459,1e-07,1e-07,1e-07,0.125,0.875
I504,1e-07,1e-07,1e-07,0.875,0.125
I503,1e-07,1e-07,1e-07,0.0625,0.9375
I466,1e-07,1e-07,1e-07,0.96875,0.03125
I1173_1,1e-07,1e-07,1e-07,0.984375,0.015625
I511,1e-07,1e-07,1e-07,0.25,0.75
I320,1e-07,1e-07,1e-07,0.5625,0.4375
I388,1e-07,1e-07,1e-07,0.9296875,0.0703125
I1188_2,1e-07,1e-07,1e-07,0.96484375,0.03515625
11466,1e-07,1e-07,1e-07,0.99945068359375,0.00054931640625
I486,1e-07,1e-07,1e-07,0.875,0.125
I479,1e-07,1e-07,1e-07,0.0625,0.9375
I1118_1,1e-07,1e-07,1e-07,0.03125,0.96875
11467,1e-07,1e-07,1e-07,0.9996356964111328,0.0003643035888671875
11468,1e-07,1e-07,1e-07,0.9999997998820618,2.0011793822050095e-07
I265,1e-07,1e-07,1e-07,0.5,0.5
I274,1e-07,1e-07,1e-07,0.5,0.5
I434,1e-07,1e-07,1e-07,0.96875,0.03125
I450,1e-07,1e-07,1e-07,0.9375,0.0625
I451,1e-07,1e-07,1e-07,0.0625,0.9375
I430,1e-07,1e-07,1e-07,0.96875,0.03125
I431,1e-07,1e-07,1e-07,0.03125,0.96875
I525,1e-07,1e-07,1e-07,0.25,0.75
I422,1e-07,1e-07,1e-07,0.9921875,0.0078125
I423,1e-07,1e-07,1e-07,0.0078125,0.9921875
I539,1e-07,1e-07,1e-07,0.25,0.75
I609,1e-07,1e-07,1e-07,0.015625,0.984375
I328,1e-07,1e-07,1e-07,0.9990234375,0.0009765625
I329,1e-07,1e-07,1e-07,0.0009765625,0.9990234375
I678,1e-07,1e-07,1e-07,0.9912185668945312,0.00878143310546875
I682,1e-07,1e-07,1e-07,0.95361328125,0.04638671875
11469,1e-07,1e-07,1e-07,0.9995926581323147,0.000407341867685318
I1047_2,1e-07,1e-07,1e-07,0.25,0.75
I264,1e-07,1e-07,1e-07,0.5,0.5
I1047_1,1e-07,1e-07,1e-07,0.25,0.75
I378,1e-07,1e-07,1e-07,0.984375,0.015625
I568,1e-07,1e-07,1e-07,0.5625,0.4375
I1128_1,1e-07,1e-07,1e-07,0.9931640625,0.0068359375
I689,1e-07,1e-07,1e-07,0.06890869140625,0.93109130859375
11470,1e-07,1e-07,1e-07,0.9983933642506599,0.0016066357493400574
11471,1e-07,1e-07,1e-07,0.9999993455499931,6.544500068261794e-07
I266,1e-07,1e-07,1e-07,0.5,0.5
I335,1e-07,1e-07,1e-07,0.25,0.75
I366,1e-07,1e-07,1e-07,0.99609375,0.00390625
I367,1e-07,1e-07,1e-07,0.00390625,0.99609375
I493,1e-07,1e-07,1e-07,0.25,0.75
I1028_1,1e-07,1e-07,1e-07,0.0009765625,0.9990234375
I543,1e-07,1e-07,1e-07,0.25,0.75
I354,1e-07,1e-07,1e-07,0.9990234375,0.0009765625
I355,1e-07,1e-07,1e-07,0.0009765625,0.9990234375
I556,1e-07,1e-07,1e-07,0.9980478286743164,0.0019521713256835938
I1097_1,1e-07,1e-07,1e-07,0.9985358715057373,0.0014641284942626953
I667,1e-07,1e-07,1e-07,0.002439261181280017,0.99756073881872
11472,1e-07,1e-07,1e-07,0.99756073881872,0.002439261181280017
11473,1e-07,1e-07,1e-07,1.0,1e-07
I1077_1,1e-07,1e-07,1e-07,0.96875,0.03125
I1080_1,1e-07,1e-07,1e-07,0.9921875,0.0078125
I322,1e-07,1e-07,1e-07,0.984375,0.015625
I411,1e-07,1e-07,1e-07,0.00390625,0.99609375
I410,1e-07,1e-07,1e-07,0.99609375,0.00390625
I655,1e-07,1e-07,1e-07,0.04638671875,0.95361328125
I657,1e-07,1e-07,1e-07,0.011688232421875,0.988311767578125
11474,1e-07,1e-07,1e-07,0.9424672275781631,0.05753277242183685
11475,1e-07,1e-07,1e-07,0.9424672275781631,0.05753277242183685
I9,1e-07,1e-07,1e-07,0.8702444136579288,0.12975558634207118
I30,1e-07,1e-07,1e-07,0.9997711312025785,0.00022886879742145538
I11,1e-07,1e-07,1e-07,0.9919042300806354,0.00809576991936456
I10,1e-07,1e-07,1e-07,0.9888133556014194,0.011186644398580636
I1040_1,1e-07,1e-07,1e-07,0.9921875,0.0078125
I1083_1,1e-07,1e-07,1e-07,0.96875,0.03125
I1103_2,1e-07,1e-07,1e-07,0.9921875,0.0078125
I1110_1,1e-07,1e-07,1e-07,0.96484375,0.03515625
I1154_1,1e-07,1e-07,1e-07,0.00390625,0.99609375
I1180_1,1e-07,1e-07,1e-07,0.9921875,0.0078125
I1184_1,1e-07,1e-07,1e-07,0.96875,0.03125
I16,1e-07,1e-07,1e-07,0.984375,0.015625
I269,1e-07,1e-07,1e-07,0.5,0.5
I271,1e-07,1e-07,1e-07,0.5,0.5
I272,1e-07,1e-07,1e-07,0.5,0.5
I275,1e-07,1e-07,1e-07,0.5,0.5
I27,1e-07,1e-07,1e-07,0.75,0.25
I278,1e-07,1e-07,1e-07,0.5,0.5
I28,1e-07,1e-07,1e-07,0.75,0.25
I283,1e-07,1e-07,1e-07,0.5,0.5
I29,1e-07,1e-07,1e-07,0.984375,0.015625
I326,1e-07,1e-07,1e-07,0.75,0.25
I24,1e-07,1e-07,1e-07,0.625,0.375
I327,1e-07,1e-07,1e-07,0.25,0.75
I330,1e-07,1e-07,1e-07,0.375,0.625
I331,1e-07,1e-07,1e-07,0.625,0.375
I345,1e-07,1e-07,1e-07,0.25,0.75
I344,1e-07,1e-07,1e-07,0.75,0.25
I357,1e-07,1e-07,1e-07,0.25,0.75
I376,1e-07,1e-07,1e-07,0.96875,0.03125
I1184_2,1e-07,1e-07,1e-07,0.984375,0.015625
I1188_1,1e-07,1e-07,1e-07,0.984375,0.015625
I377,1e-07,1e-07,1e-07,0.03125,0.96875
I12,1e-07,1e-07,1e-07,0.92333984375,0.07666015625
I379,1e-07,1e-07,1e-07,0.015625,0.984375
I364,1e-07,1e-07,1e-07,0.998046875,0.001953125
I393,1e-07,1e-07,1e-07,0.25,0.75
I394,1e-07,1e-07,1e-07,0.96875,0.03125
I347,1e-07,1e-07,1e-07,0.515625,0.484375
